"variable","GEOID","NAME","estimate","moe","label","concept"
"B11012_001","01","Alabama",1902983,5852,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","42","Pennsylvania",5147783,8001,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","11","District of Columbia",310104,1722,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","56","Wyoming",230653,1540,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","02","Alaska",260561,1334,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","48","Texas",10239341,15384,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","12","Florida",8157420,21974,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","40","Oklahoma",1503868,2833,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","04","Arizona",2683557,6004,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","33","New Hampshire",540498,1974,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","54","West Virginia",711352,2637,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","26","Michigan",3976729,8287,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","46","South Dakota",345779,1419,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","19","Iowa",1275893,3252,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","38","North Dakota",316542,1777,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","27","Minnesota",2229100,4779,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","51","Virginia",3248528,6651,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","20","Kansas",1139738,3775,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","44","Rhode Island",426769,1986,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","28","Mississippi",1108670,4270,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","72","Puerto Rico",1196790,4278,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","21","Kentucky",1748475,5017,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","49","Utah",1033651,2531,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","13","Georgia",3885371,8940,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","41","Oregon",1658091,3326,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","05","Arkansas",1158460,3725,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","34","New Jersey",3397156,5756,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","55","Wisconsin",2401818,5041,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","23","Maine",571064,1997,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","47","Tennessee",2664791,6361,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","35","New Mexico",797596,2730,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","39","Ohio",4754161,9064,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","24","Maryland",2294270,4090,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","53","Washington",2931841,4588,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","36","New York",7530150,13493,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","45","South Carolina",1976447,5877,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","29","Missouri",2433819,5438,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","37","North Carolina",4034684,9031,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
"B11012_001","22","Louisiana",1748688,5810,"Estimate!!Total:","HOUSEHOLDS BY TYPE"
