variable,GEOID,NAME,estimate,moe,label,concept
B21001_001,1,Alabama,3859695,1204,Estimate!!Total:,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER
B21001_001,32,Nevada,2354593,1058,Estimate!!Total:,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER
B21001_001,49,Utah,2279969,757,Estimate!!Total:,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER
B21001_001,31,Nebraska,1459667,636,Estimate!!Total:,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER
B21001_001,30,Montana,841963,439,Estimate!!Total:,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER
B21001_001,29,Missouri,4729939,1271,Estimate!!Total:,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER
B21001_001,56,Wyoming,438739,544,Estimate!!Total:,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER
B21001_001,28,Mississippi,2247898,949,Estimate!!Total:,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER
B21001_001,27,Minnesota,4342896,650,Estimate!!Total:,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER
B21001_001,26,Michigan,7868746,655,Estimate!!Total:,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER
B21001_001,53,Washington,5878259,1988,Estimate!!Total:,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER
B21001_001,25,Massachusetts,5596622,698,Estimate!!Total:,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER
B21001_001,24,Maryland,4741625,1581,Estimate!!Total:,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER
