"variable","GEOID","NAME","estimate","moe","label","concept"
"B28010_001","01","Alabama",1902983,5852,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","04","Arizona",2683557,6004,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","09","Connecticut",1397324,3455,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","39","Ohio",4754161,9064,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","16","Idaho",657101,2559,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","22","Louisiana",1748688,5810,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","24","Maryland",2294270,4090,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","02","Alaska",260561,1334,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","05","Arkansas",1158460,3725,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","10","Delaware",381097,1552,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","40","Oklahoma",1503868,2833,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","17","Illinois",4930255,7843,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","23","Maine",571064,1997,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","25","Massachusetts",2714448,4158,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","27","Minnesota",2229100,4779,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","06","California",13217586,19810,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","11","District of Columbia",310104,1722,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","41","Oregon",1658091,3326,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","18","Indiana",2622601,6597,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","20","Kansas",1139738,3775,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","26","Michigan",3976729,8287,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","28","Mississippi",1108670,4270,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","08","Colorado",2227932,3823,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","12","Florida",8157420,21974,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","42","Pennsylvania",5147783,8001,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","19","Iowa",1275893,3252,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
"B28010_001","21","Kentucky",1748475,5017,"Estimate!!Total:","COMPUTERS IN HOUSEHOLD"
